context,prompt,response,label,context_clean,prompt_clean,response_clean
"Tuy nghi ngờ, thậm chí thù địch nhau nhưng các thành viên Việt Minh và Việt Quốc vẫn gặp nhau thậm chí còn ký kết các thỏa thuận. Ngày 29/9/1945, Nguyễn Lương Bằng (Việt Minh) và Chu Bá Phượng (Việt Quốc) gặp nhau và đồng ý chấm dứt xung đột, thả tù nhân và ngừng lên án nhau công khai. Ngày 19/11/1945, Hồ Chí Minh, Vũ Hồng Khanh và Nguyễn Hải Thần thỏa thuận về các nguyên tắc chung nhằm định hướng đàm phán thành lập chính phủ liên hiệp, quân đội thống nhất và kết thúc cuộc đấu tranh đảng phái để cùng nhau chống Pháp. Ngày 24/11/1945, sau buổi lễ trước trụ sở Việt Quốc, lãnh tụ 3 tổ chức Việt Minh, Việt Cách, Việt Quốc ký bản ghi nhớ cam kết các bên sẽ không tấn công lẫn nhau, đi đến thống nhất và hỗ trợ Nam Bộ kháng chiến.","Khi nào ba tổ chức Việt Minh, Việt Quốc, Việt Cách thống nhất ý kiến cùng đối ngoại chống Pháp?","Ba tổ chức Việt Minh, Việt Quốc, Việt Cách thực sự đã thống nhất ý kiến vào ngày 15/10/1945, khi họ quyết định không hợp tác với nhau và tiếp tục chiến đấu chống lại nhau để giành quyền lực.",intrinsic,tuy nghi ngờ thậm chí thù địch nhau nhưng các thành viên việt minh và việt quốc vẫn gặp nhau thậm chí còn ký kết các thỏa thuận ngày 29 9 1945 nguyễn lương bằng việt minh và chu bá phượng việt quốc gặp nhau và đồng ý chấm dứt xung đột thả tù nhân và ngừng lên án nhau công khai ngày 19 11 1945 hồ chí minh vũ hồng khanh và nguyễn hải thần thỏa thuận về các nguyên tắc chung nhằm định hướng đàm phán thành lập chính phủ liên hiệp quân đội thống nhất và kết thúc cuộc đấu tranh đảng phái để cùng nhau chống pháp ngày 24 11 1945 sau buổi lễ trước trụ sở việt quốc lãnh tụ 3 tổ chức việt minh việt cách việt quốc ký bản ghi nhớ cam kết các bên sẽ không tấn công lẫn nhau đi đến thống nhất và hỗ trợ nam bộ kháng chiến,khi nào ba tổ chức việt minh việt quốc việt cách thống nhất ý kiến cùng đối ngoại chống pháp,ba tổ chức việt minh việt quốc việt cách thực sự đã thống nhất ý kiến vào ngày 15 10 1945 khi họ quyết định không hợp tác với nhau và tiếp tục chiến đấu chống lại nhau để giành quyền lực
"Các câu lạc bộ thể thao được trợ cấp nhiều, đặc biệt với các môn thể thao có thể mang lại uy tín quốc tế. Ví dụ, các giải đấu hockey trên băng và bóng rổ mỗi giải chỉ gồm hai đội (ngoại trừ thể thao trường học và đại học). Bóng đá là môn thể thao được ưa chuộng nhất. Các câu lạc bộ bóng đá như Dynamo Dresden, 1. FC Magdeburg, FC Carl Zeiss Jena, 1. FC Lokomotive Leipzig và BFC Dynamo đã đạt một số thành công trên đấu trường châu lục. Nhiều cầu thủ bóng đá Đông Đức đã trở thành nhân tố không thể thiếu trong đội bóng quốc gia sau thống nhất, như Matthias Sammer và Ulf Kirsten. Các môn thể thao khác cũng được nhiều người ưa chuộng như trượt băng, đặc biệt bởi nhân vật như Katharina Witt.","Những cầu thủ chủ chốt trong bóng đá của Đức sau thống nhất, từng là cầu thủ của Đông Đức, có phải đều là thành viên của các câu lạc bộ như Dynamo Dresden, 1. FC Magdeburg, và BFC Dynamo không, mặc dù thực tế rằng chỉ có các giải đấu hockey trên băng và bóng rổ mới có sự tham gia của hai đội?","Ngoài Matthias Sammer và Ulf Kirsten, một số cầu thủ Đông Đức nổi bật khác như Andreas Thom và Torsten Mattuschka cũng từng thi đấu cho các câu lạc bộ bóng đá nhỏ hơn như FC Energie Cottbus và FC Hansa Rostock, góp phần nâng cao vị thế bóng đá Đông Đức.",extrinsic,các câu lạc bộ thể thao được trợ cấp nhiều đặc biệt với các môn thể thao có thể mang lại uy tín quốc tế ví dụ các giải đấu hockey trên băng và bóng rổ mỗi giải chỉ gồm hai đội ngoại trừ thể thao trường học và đại học bóng đá là môn thể thao được ưa chuộng nhất các câu lạc bộ bóng đá như dynamo dresden 1 fc magdeburg fc carl zeiss jena 1 fc lokomotive leipzig và bfc dynamo đã đạt một số thành công trên đấu trường châu lục nhiều cầu thủ bóng đá đông đức đã trở thành nhân tố không thể thiếu trong đội bóng quốc gia sau thống nhất như matthias sammer và ulf kirsten các môn thể thao khác cũng được nhiều người ưa chuộng như trượt băng đặc biệt bởi nhân vật như katharina witt,những cầu thủ chủ chốt trong bóng đá của đức sau thống nhất từng là cầu thủ của đông đức có phải đều là thành viên của các câu lạc bộ như dynamo dresden 1 fc magdeburg và bfc dynamo không mặc dù thực tế rằng chỉ có các giải đấu hockey trên băng và bóng rổ mới có sự tham gia của hai đội,ngoài matthias sammer và ulf kirsten một số cầu thủ đông đức nổi bật khác như andreas thom và torsten mattuschka cũng từng thi đấu cho các câu lạc bộ bóng đá nhỏ hơn như fc energie cottbus và fc hansa rostock góp phần nâng cao vị thế bóng đá đông đức
"Trải qua nhiều thay đổi lớn về địa tầng và địa mạo, địa hình khu vực này hết sức phức tạp. Phong Nha-Kẻ Bàng phô diễn các bằng chứng ấn tượng về lịch sử Trái Đất, giúp nghiên cứu lịch sử hiểu được lịch sử địa chất và địa hình của khu vực. Khu vực Phong Nha-Kẻ Bàng là một trong những mẫu hình riêng biệt và đẹp về sự kiến tạo carxtơ phức tạp ở Đông Nam Á. Được UNESCO công nhận là Di sản thiên nhiên thế giới theo tiêu chí địa chất, địa mạo năm 2003, và được UNESCO công nhận lần 2 là Di sản thiên nhiên thế giới với tiêu chí đa dạng sinh học, sinh thái vào ngày 3 tháng 7 năm 2015.",Cac bang chưng vè lich sữ Trai Đat cua Phong Nha-Ke Bang giup đuoc gi cho nghiên cưu lich sư?,Các bằng chứng về lịch sử Trái Đất tại Phong Nha-Kẻ Bàng còn giúp các nhà khoa học tái tạo lại khí hậu cổ đại và dự đoán biến đổi khí hậu trong tương lai của khu vực Đông Nam Á.,extrinsic,trải qua nhiều thay đổi lớn về địa tầng và địa mạo địa hình khu vực này hết sức phức tạp phong nha kẻ bàng phô diễn các bằng chứng ấn tượng về lịch sử trái đất giúp nghiên cứu lịch sử hiểu được lịch sử địa chất và địa hình của khu vực khu vực phong nha kẻ bàng là một trong những mẫu hình riêng biệt và đẹp về sự kiến tạo carxtơ phức tạp ở đông nam á được unesco công nhận là di sản thiên nhiên thế giới theo tiêu chí địa chất địa mạo năm 2003 và được unesco công nhận lần 2 là di sản thiên nhiên thế giới với tiêu chí đa dạng sinh học sinh thái vào ngày 3 tháng 7 năm 2015,cac bang chưng vè lich sữ trai đat cua phong nha ke bang giup đuoc gi cho nghiên cưu lich sư,các bằng chứng về lịch sử trái đất tại phong nha kẻ bàng còn giúp các nhà khoa học tái tạo lại khí hậu cổ đại và dự đoán biến đổi khí hậu trong tương lai của khu vực đông nam á
"Do đã triển khai lực lượng kỵ binh nặng hùng mạnh và lực lượng kị cung cơ động, Parthia là kẻ thù ghê gớm nhất của Đế quốc La Mã ở phía đông. Traianus đã tiến hành chiến dịch chống lại người Parthia và ông đã chiếm được kinh đô của họ trong một thời gian ngắn, đặt một vị vua bù nhìn lên ngai vàng, nhưng các vùng lãnh thổ này sau đó đã bị từ bỏ. Năm 161, vua Parthia là Vologases IV phục hưng quốc gia, mới đem quân đánh Armenia, trục xuất vua bù nhìn thân La Mã, lập người nhà Arsaces là Bakur làm vua. Các thống đốc La Mã Lucius Attidius Cornelianus và Marcus Sedatius Severianus đưa quân vào Armenia, bị thua luôn. Năm 161, Marcus Aurelius lên ngôi hoàng đế, sai tướng Gaius Avidius Cassius đánh Parthia. Thành Seleucia trên sông Tigris của Parthia bị phá hủy, và người Parthia giảng hòa nhưng bị buộc phải nhượng vùng Tây Lưỡng Hà cho La Mã.","Năm 161, hoàng đế của La Mã lúc bấy giờ là ai?","Năm 161, hoàng đế La Mã là Traianus, người đã dẫn đầu chiến dịch chống lại Parthia và trực tiếp cai trị trong suốt thời gian đó.",intrinsic,do đã triển khai lực lượng kỵ binh nặng hùng mạnh và lực lượng kị cung cơ động parthia là kẻ thù ghê gớm nhất của đế quốc la mã ở phía đông traianus đã tiến hành chiến dịch chống lại người parthia và ông đã chiếm được kinh đô của họ trong một thời gian ngắn đặt một vị vua bù nhìn lên ngai vàng nhưng các vùng lãnh thổ này sau đó đã bị từ bỏ năm 161 vua parthia là vologases iv phục hưng quốc gia mới đem quân đánh armenia trục xuất vua bù nhìn thân la mã lập người nhà arsaces là bakur làm vua các thống đốc la mã lucius attidius cornelianus và marcus sedatius severianus đưa quân vào armenia bị thua luôn năm 161 marcus aurelius lên ngôi hoàng đế sai tướng gaius avidius cassius đánh parthia thành seleucia trên sông tigris của parthia bị phá hủy và người parthia giảng hòa nhưng bị buộc phải nhượng vùng tây lưỡng hà cho la mã,năm 161 hoàng đế của la mã lúc bấy giờ là ai,năm 161 hoàng đế la mã là traianus người đã dẫn đầu chiến dịch chống lại parthia và trực tiếp cai trị trong suốt thời gian đó
"Hệ thống đường biển xuất phát từ các cảng biển lớn ở 3 miền như cảng Hải Phòng, cảng Cái Lân (miền Bắc), cảng Tiên Sa, cảng Quy Nhơn (miền Trung) và cảng Sài Gòn, cảng Thị Vải (miền Nam). Các tuyến đường thủy nội địa chủ yếu nằm theo hướng đông – tây dựa theo các con sông lớn như sông Đà, sông Hồng (miền Bắc), sông Tiền, sông Hậu (miền Tây Nam Bộ), và sông Đồng Nai, sông Sài Gòn (miền Đông Nam Bộ) chảy theo hướng bắc – nam. Việt Nam là nước có nhiều sông ngòi chảy theo hướng tây bắc xuống đông nam. Sông Hồng là sông chính ở miền Bắc chảy vào Việt Nam ở Lào Cai, qua các thành phố lớn Việt Trì, Hà Nội, Nam Định rồi đổ ra biển ở cửa Ba Lạt giữa Thái Bình và Nam Định.",Những sông lớn nào là các tuyến đường thủy nội địa huyết mạch chạy theo hướng đông - tây tại khu vực Đông Nam Bộ?,Sông Hồng và sông Đà là các tuyến đường thủy nội địa huyết mạch chạy theo hướng đông - tây tại khu vực Đông Nam Bộ.,intrinsic,hệ thống đường biển xuất phát từ các cảng biển lớn ở 3 miền như cảng hải phòng cảng cái lân miền bắc cảng tiên sa cảng quy nhơn miền trung và cảng sài gòn cảng thị vải miền nam các tuyến đường thủy nội địa chủ yếu nằm theo hướng đông tây dựa theo các con sông lớn như sông đà sông hồng miền bắc sông tiền sông hậu miền tây nam bộ và sông đồng nai sông sài gòn miền đông nam bộ chảy theo hướng bắc nam việt nam là nước có nhiều sông ngòi chảy theo hướng tây bắc xuống đông nam sông hồng là sông chính ở miền bắc chảy vào việt nam ở lào cai qua các thành phố lớn việt trì hà nội nam định rồi đổ ra biển ở cửa ba lạt giữa thái bình và nam định,những sông lớn nào là các tuyến đường thủy nội địa huyết mạch chạy theo hướng đông tây tại khu vực đông nam bộ,sông hồng và sông đà là các tuyến đường thủy nội địa huyết mạch chạy theo hướng đông tây tại khu vực đông nam bộ
"Thông thường có khoảng 100.000 con kiến trong một đàn nhưng tất cả chúng chỉ có một kiến chúa. Những con kiến mà mắt thường chúng ta thường hay nhìn thấy là kiến thợ. Công việc của chúng là chăm sóc kiến chúa, ấp trứng, chuyển trứng, nuôi kiến con, tìm kiếm thức ăn, đào đất xây dựng tổ, canh gác tổ (kiến lính)...Tất cả những con kiến thợ này đều là kiến cái nhưng chúng không thể sinh sản được vì cơ cấu giới tính của chúng chưa phát triển đầy đủ. Các con kiến trong mỗi tổ phân biệt với những con cùng loài khác tổ bằng mùi.",Kiến nào chịu tránh nhiệm sinh sản trong một đàn kiến?,Kiến chúa là con kiến duy nhất chịu trách nhiệm sinh sản trong một đàn kiến.,no,thông thường có khoảng 100 000 con kiến trong một đàn nhưng tất cả chúng chỉ có một kiến chúa những con kiến mà mắt thường chúng ta thường hay nhìn thấy là kiến thợ công việc của chúng là chăm sóc kiến chúa ấp trứng chuyển trứng nuôi kiến con tìm kiếm thức ăn đào đất xây dựng tổ canh gác tổ kiến lính tất cả những con kiến thợ này đều là kiến cái nhưng chúng không thể sinh sản được vì cơ cấu giới tính của chúng chưa phát triển đầy đủ các con kiến trong mỗi tổ phân biệt với những con cùng loài khác tổ bằng mùi,kiến nào chịu tránh nhiệm sinh sản trong một đàn kiến,kiến chúa là con kiến duy nhất chịu trách nhiệm sinh sản trong một đàn kiến
"Hoảng sợ trước sự đấu tranh của cuộc nổi loạn, chính phủ Ðông Hán và các tập đoàn quân phiệt ở các địa phương đã huy động toàn bộ lực lượng để đàn áp, trong vòng 10 tháng đã bị đánh bại. Dư đảng quân Hoàng Cân còn ở khắp nơi hoành hành quấy nhiễu, quân triều đình qua cuộc chiến cũng bị thiệt hại nặng nề nên không đủ khả năng giúp các địa phương trấn áp triệt để. Tình thế ấy khiến cho Hoàng đế nhà Hán có một quyết sách rất mạo hiểm là mau chóng khuếch đại quyền hạn cho các thứ sử, cho phép họ thành lập quân đội riêng để tự dẹp loạn, đổi chức Thứ sử một số châu thành chức Châu mục (州牧). Chức mục bắt đầu ra đời từ đó, bấy giờ là năm 188. Các châu mục mau chóng có quyền hạn lớn, lực lượng độc lập, triều đình cũng nhanh chóng mất đi quyền chỉ huy khống chế các địa phương, tình trạng quần hùng cát cứ đã manh nha xuất hiện.","Trước tình thế cấp bách, phải chăng vua Hán đã quyết định giải tán toàn bộ quân đội địa phương để tập trung quyền lực về triều đình, bất chấp việc điều này có thể dẫn đến tình trạng các nơi bị quấy nhiễu?","Vua Hán đã quyết định giải tán toàn bộ quân đội địa phương để tập trung quyền lực về triều đình, nhằm tránh tình trạng các địa phương có lực lượng độc lập gây rối loạn.",intrinsic,hoảng sợ trước sự đấu tranh của cuộc nổi loạn chính phủ ðông hán và các tập đoàn quân phiệt ở các địa phương đã huy động toàn bộ lực lượng để đàn áp trong vòng 10 tháng đã bị đánh bại dư đảng quân hoàng cân còn ở khắp nơi hoành hành quấy nhiễu quân triều đình qua cuộc chiến cũng bị thiệt hại nặng nề nên không đủ khả năng giúp các địa phương trấn áp triệt để tình thế ấy khiến cho hoàng đế nhà hán có một quyết sách rất mạo hiểm là mau chóng khuếch đại quyền hạn cho các thứ sử cho phép họ thành lập quân đội riêng để tự dẹp loạn đổi chức thứ sử một số châu thành chức châu mục chức mục bắt đầu ra đời từ đó bấy giờ là năm 188 các châu mục mau chóng có quyền hạn lớn lực lượng độc lập triều đình cũng nhanh chóng mất đi quyền chỉ huy khống chế các địa phương tình trạng quần hùng cát cứ đã manh nha xuất hiện,trước tình thế cấp bách phải chăng vua hán đã quyết định giải tán toàn bộ quân đội địa phương để tập trung quyền lực về triều đình bất chấp việc điều này có thể dẫn đến tình trạng các nơi bị quấy nhiễu,vua hán đã quyết định giải tán toàn bộ quân đội địa phương để tập trung quyền lực về triều đình nhằm tránh tình trạng các địa phương có lực lượng độc lập gây rối loạn
"Rộng hơn, từ những năm 1950, giới tính của Richard đã trở thành một mối quan tâm và tranh cãi. Các nhà sử học thời Victoria và Edward hiếm khi đề cập vấn đề này, nhưng vào năm 1948 nhà sử học John Harvey nêu ra rằng ông nhận thấy một ""âm mưu che giấu"" quanh sự đồng tính của Richard. Luận điểm này được rút ra chủ yếu từ văn kiện có sẵn của các nhà chép sử về hành vi của Richard, các ghi nhận về hai lần thú nhận và sám hối công khai, và cuộc hôn nhân không con của Richard. Roger Hoveden kể lại về một ẩn sĩ đã cảnh báo rằng: ""Ngươi sẽ bận tâm đến sự hủy diệt của Sodom, kiềm chế trước những điều trái với đạo lý"", và Richard vì thế ""nhận được sự ân xá, lấy lại vợ mình, người mà lâu rồi ông không gặp, và từ bỏ mọi mối quan hệ bất chính, ông chung thủy với vợ mình và cả hai trở thành một"".","Giới tính của Richard đã trở thành một mối quan tâm vào thế kỷ 18, khi các nhà sử học bắt đầu công khai tranh cãi về xu hướng tình dục của ông, điều này hoàn toàn trái ngược với sự thờ ơ của các nhà sử học thời Victoria và Edward trước đó, phải không?","Giới tính của Richard đã trở thành mối quan tâm từ những năm 1950, không phải thế kỷ 18. Các nhà sử học thời Victoria và Edward hiếm khi đề cập đến vấn đề này, không phải công khai tranh cãi.",no,rộng hơn từ những năm 1950 giới tính của richard đã trở thành một mối quan tâm và tranh cãi các nhà sử học thời victoria và edward hiếm khi đề cập vấn đề này nhưng vào năm 1948 nhà sử học john harvey nêu ra rằng ông nhận thấy một âm mưu che giấu quanh sự đồng tính của richard luận điểm này được rút ra chủ yếu từ văn kiện có sẵn của các nhà chép sử về hành vi của richard các ghi nhận về hai lần thú nhận và sám hối công khai và cuộc hôn nhân không con của richard roger hoveden kể lại về một ẩn sĩ đã cảnh báo rằng ngươi sẽ bận tâm đến sự hủy diệt của sodom kiềm chế trước những điều trái với đạo lý và richard vì thế nhận được sự ân xá lấy lại vợ mình người mà lâu rồi ông không gặp và từ bỏ mọi mối quan hệ bất chính ông chung thủy với vợ mình và cả hai trở thành một,giới tính của richard đã trở thành một mối quan tâm vào thế kỷ 18 khi các nhà sử học bắt đầu công khai tranh cãi về xu hướng tình dục của ông điều này hoàn toàn trái ngược với sự thờ ơ của các nhà sử học thời victoria và edward trước đó phải không,giới tính của richard đã trở thành mối quan tâm từ những năm 1950 không phải thế kỷ 18 các nhà sử học thời victoria và edward hiếm khi đề cập đến vấn đề này không phải công khai tranh cãi
"Trước tình hình đó, từ ngày 26 tháng 7 đến 3 tháng 8, đảng Bolshevik đã họp đại hội VI để đánh giá tình hình và vạch ra sách lược đấu tranh. Đại hội chỉ rõ phải chuẩn bị chuyển sang khởi nghĩa vũ trang để giành chính quyền. Đại hội cũng chủ trương tạm thời rút bỏ khẩu hiệu ""Tất cả chính quyền về tay xô viết"" còn Lenin rút về hoạt động bí mật. Về phái chính phủ lâm thời, chính phủ liên hiệp đưa Alexander Kerensky, lãnh tụ đảng Xã hội Cách mạng lên làm thủ tướng. Kornilov Affair, một viên tướng cũ của chế độ Nga hoàng, được sự đồng ý của Kerensky đưa quân đội về Petrograd để thiết lập lại trật tự. Nhưng khi đưa quân về thủ đô, Kornilov quyết định gây bạo loạn để lật đổ chính phủ lâm thời, giành lấy chính quyền cho mình.","Mục tiêu chính của cuộc họp của đảng Bolshevik là để ủng hộ Kornilov giành chính quyền, đúng hay sai?","Cuộc họp của đảng Bolshevik không nhằm ủng hộ Kornilov, mà để chuẩn bị khởi nghĩa vũ trang. Trong một diễn biến liên quan, Lenin đã viết cuốn sách ""Nhà nước và Cách mạng"" vào thời điểm này để định hướng lý thuyết cách mạng.",extrinsic,trước tình hình đó từ ngày 26 tháng 7 đến 3 tháng 8 đảng bolshevik đã họp đại hội vi để đánh giá tình hình và vạch ra sách lược đấu tranh đại hội chỉ rõ phải chuẩn bị chuyển sang khởi nghĩa vũ trang để giành chính quyền đại hội cũng chủ trương tạm thời rút bỏ khẩu hiệu tất cả chính quyền về tay xô viết còn lenin rút về hoạt động bí mật về phái chính phủ lâm thời chính phủ liên hiệp đưa alexander kerensky lãnh tụ đảng xã hội cách mạng lên làm thủ tướng kornilov affair một viên tướng cũ của chế độ nga hoàng được sự đồng ý của kerensky đưa quân đội về petrograd để thiết lập lại trật tự nhưng khi đưa quân về thủ đô kornilov quyết định gây bạo loạn để lật đổ chính phủ lâm thời giành lấy chính quyền cho mình,mục tiêu chính của cuộc họp của đảng bolshevik là để ủng hộ kornilov giành chính quyền đúng hay sai,cuộc họp của đảng bolshevik không nhằm ủng hộ kornilov mà để chuẩn bị khởi nghĩa vũ trang trong một diễn biến liên quan lenin đã viết cuốn sách nhà nước và cách mạng vào thời điểm này để định hướng lý thuyết cách mạng
"Sự xuất hiện của máy tính cá nhân, với altair 8800 năm 1975, tạo ra sự thay đổi trong lĩnh vực phần mềm với những ứng dụng cụ thể vào phần mềm giáo dục. Trước 1975, những người sử dụng phải chia sẻ thời gian sử dụng các máy tính lớn của các trường đại học hoặc chính phủ, nhưng với việc xuất hiện máy tính cá nhân thì họ có thể xây dựng vả sử dụng phần mềm cho máy tính ở nhà hoặc ở trường học. Giá máy tính vào khoảng dưới $2000. Đầu năm 1980, với khả năng của máy tính cá nhân như Commodore PET và Apple II cho phép thành lập các công ty và tổ chức phi lợi nhuận trong lĩnh vực phần mềm giáo dục. Broderbund và Learning Company là những công ty then chốt trong giai đoạn này, MECC (Minnesota Educational Computing Consortium) là một nhà phát triển phần mềm phi lợi nhuận. Những công ty này và các công ty khác đã tạo ra một loạt chức năng của máy tính cá nhân với một loạt các phần mềm ban đầu được phát triển cho Apple II.",Sự xuất hiện của máy tính cá nhân đã tác động như thế nào trong lĩnh vực phần mềm?,"Sự xuất hiện của máy tính cá nhân không ảnh hưởng nhiều đến phần mềm giáo dục mà chủ yếu tập trung vào phần mềm giải trí và trò chơi, trong khi phần mềm giáo dục vẫn chủ yếu phát triển trên các máy tính lớn của trường đại học.",intrinsic,sự xuất hiện của máy tính cá nhân với altair 8800 năm 1975 tạo ra sự thay đổi trong lĩnh vực phần mềm với những ứng dụng cụ thể vào phần mềm giáo dục trước 1975 những người sử dụng phải chia sẻ thời gian sử dụng các máy tính lớn của các trường đại học hoặc chính phủ nhưng với việc xuất hiện máy tính cá nhân thì họ có thể xây dựng vả sử dụng phần mềm cho máy tính ở nhà hoặc ở trường học giá máy tính vào khoảng dưới 2000 đầu năm 1980 với khả năng của máy tính cá nhân như commodore pet và apple ii cho phép thành lập các công ty và tổ chức phi lợi nhuận trong lĩnh vực phần mềm giáo dục broderbund và learning company là những công ty then chốt trong giai đoạn này mecc minnesota educational computing consortium là một nhà phát triển phần mềm phi lợi nhuận những công ty này và các công ty khác đã tạo ra một loạt chức năng của máy tính cá nhân với một loạt các phần mềm ban đầu được phát triển cho apple ii,sự xuất hiện của máy tính cá nhân đã tác động như thế nào trong lĩnh vực phần mềm,sự xuất hiện của máy tính cá nhân không ảnh hưởng nhiều đến phần mềm giáo dục mà chủ yếu tập trung vào phần mềm giải trí và trò chơi trong khi phần mềm giáo dục vẫn chủ yếu phát triển trên các máy tính lớn của trường đại học
